URL,Robots.txt блокирует,Noindex,Nofollow,Verdict,RobotsTxtState,IndexingState,LastCrawlTime,PageFetchState,GoogleCanonical,UserCanonical,MobileUsabilityResult,MobileUsabilityIssues
https://buldoors.uz/,False,False,False,,,,,,,,,
https://www.itcomms.io/,True,False,False,,,,,,,,,
https://ecodez.uz/,False,False,False,,,,,,,,,
https://exportal.io/,True,False,False,,,,,,,,,
https://elvorio.com/,True,False,False,,,,,,,,,
https://sbssecurity.uz/,False,False,False,,,,,,,,,
https://sunlight-group.uz/,False,False,False,,,,,,,,,
https://webvisiondubai.com/,True,False,False,,,,,,,,,
https://www.centrum-air.com/ru/,False,False,False,,,,,,,,,
http://www.elvorio.com/,True,False,False,,,,,,,,,
https://romo-mebel.uz/,True,False,False,,,,,,,,,
https://jihozvent.uz/,True,False,False,,,,,,,,,
https://brostore.uz/,False,False,False,,,,,,,,,
https://kadrovik.uz/,False,False,False,,,,,,,,,
https://luxmatras.uz/,"Ошибка: HTTPSConnectionPool(host='luxmatras.uz', port=443): Max retries exceeded with url: //robots.txt (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))","Ошибка: HTTPSConnectionPool(host='luxmatras.uz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))","Ошибка: HTTPSConnectionPool(host='luxmatras.uz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))",,,,,,,,,
https://uzkip.com/,True,False,False,,,,,,,,,
https://maxproduct.uz/,True,False,False,,,,,,,,,
https://medialux.uz/,False,False,False,,,,,,,,,
https://add-effect.uz/,True,False,False,,,,,,,,,
https://pcshopuz.com/,False,False,False,,,,,,,,,
https://artikul-kabel.uz/,False,False,False,,,,,,,,,
https://tengemarket.uz/,True,False,True,,,,,,,,,
https://tengebank.uz/,False,False,False,,,,,,,,,
https://mastino.uz/,False,False,False,,,,,,,,,
https://vitros.uz/,True,False,False,,,,,,,,,
https://flyhumo.com/,False,False,False,,,,,,,,,
https://uzconcentrate.uz/,False,False,False,,,,,,,,,
https://ekopromenergo.uz/,"Ошибка: HTTPSConnectionPool(host='ekopromenergo.uz', port=443): Max retries exceeded with url: //robots.txt (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))","Ошибка: HTTPSConnectionPool(host='ekopromenergo.uz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))","Ошибка: HTTPSConnectionPool(host='ekopromenergo.uz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))",,,,,,,,,
https://cambridgeonline.uz/,False,False,False,,,,,,,,,
https://lunacatering.uz/,True,False,False,,,,,,,,,
https://myfreighter.uz/,False,False,False,,,,,,,,,
https://7media.uz/,True,False,False,,,,,,,,,
https://leading.uz/,False,False,False,,,,,,,,,
https://nonwovenuz.com/,True,True,False,,,,,,,,,
https://www.optimize.uz/,False,False,False,,,,,,,,,
https://h-truck.com/,True,False,False,,,,,,,,,
https://grand-tent.ru/,True,False,False,,,,,,,,,
https://gorodknig.uz/,"Ошибка: HTTPSConnectionPool(host='gorodknig.uz', port=443): Max retries exceeded with url: //robots.txt (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))","Ошибка: HTTPSConnectionPool(host='gorodknig.uz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))","Ошибка: HTTPSConnectionPool(host='gorodknig.uz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1006)')))",,,,,,,,,
https://topmall.uz/,True,False,False,,,,,,,,,
https://dicloud.uz/,True,False,False,,,,,,,,,
https://blackswan.law/,True,False,False,,,,,,,,,
https://datacraft.uz/,False,False,False,,,,,,,,,
https://keyconsulting.uz/,True,False,False,,,,,,,,,
https://angarsk.remobile38.ru/,True,False,False,,,,,,,,,
https://bts.uz/,False,False,False,,,,,,,,,
https://toptrening.uz/,True,False,False,,,,,,,,,
